JobID           JobName      State    Elapsed ExitCode 
174_34       cpu_single  COMPLETED   00:03:21      0:0 
174_34.batch      batch  COMPLETED   00:03:21      0:0 
174_35       cpu_single  COMPLETED   00:03:18      0:0 
174_35.batch      batch  COMPLETED   00:03:18      0:0 
174_36       cpu_single  COMPLETED   00:03:07      0:0 
174_36.batch      batch  COMPLETED   00:03:07      0:0 
210_1        cpu_single     FAILED   00:00:00     0:53 
210_1.batch       batch  CANCELLED   00:00:00     0:53 
210_2        cpu_single     FAILED   00:00:00     0:53 
210_2.batch       batch  CANCELLED   00:00:00     0:53 
210_3        cpu_single     FAILED   00:00:00     0:53 
210_3.batch       batch  CANCELLED   00:00:00     0:53 
210_4        cpu_single     FAILED   00:00:00     0:53 
210_4.batch       batch  CANCELLED   00:00:00     0:53 
210_5        cpu_single     FAILED   00:00:00     0:53 
210_5.batch       batch  CANCELLED   00:00:00     0:53 
210_6        cpu_single     FAILED   00:00:00     0:53 
210_6.batch       batch  CANCELLED   00:00:00     0:53 
210_7        cpu_single     FAILED   00:00:00     0:53 
210_7.batch       batch  CANCELLED   00:00:00     0:53 
210_8        cpu_single     FAILED   00:00:00     0:53 
210_8.batch       batch  CANCELLED   00:00:00     0:53 
210_9        cpu_single     FAILED   00:00:00     0:53 
210_9.batch       batch  CANCELLED   00:00:00     0:53 
210_10       cpu_single     FAILED   00:00:00     0:53 
210_10.batch      batch  CANCELLED   00:00:00     0:53 
210_11       cpu_single     FAILED   00:00:00     0:53 
210_11.batch      batch  CANCELLED   00:00:00     0:53 
210_12       cpu_single     FAILED   00:00:00     0:53 
210_12.batch      batch  CANCELLED   00:00:00     0:53 
210_13       cpu_single     FAILED   00:00:00     0:53 
210_13.batch      batch  CANCELLED   00:00:00     0:53 
210_14       cpu_single     FAILED   00:00:00     0:53 
210_14.batch      batch  CANCELLED   00:00:00     0:53 
210_15       cpu_single     FAILED   00:00:00     0:53 
210_15.batch      batch  CANCELLED   00:00:00     0:53 
210_16       cpu_single     FAILED   00:00:00     0:53 
210_16.batch      batch  CANCELLED   00:00:00     0:53 
210_17       cpu_single     FAILED   00:00:00     0:53 
210_17.batch      batch  CANCELLED   00:00:00     0:53 
210_18       cpu_single     FAILED   00:00:00     0:53 
